Country Code,2010,2011,2012,2013,2014,2015,2016,2017
ABW,19741.1498,19960.52121,21038.15112,20841.48947,21891.5039,21961.09881,21368.80489,21385.45166
AFG,477.30700930000006,517.4484480000001,554.7792155000001,550.9567007,529.8764023,502.2764103999999,465.84158279999997,466.07908139999995
AGO,1108.338717,1494.2403769999999,1789.7336149999999,2113.866121,2498.701951,2341.460543,1949.1146800000001,2148.272969
ALB,3530.690656,3853.1653530000003,3644.843103,3937.277061,4038.0148649999996,3560.787907,3776.1116939999997,4105.150515
ARB,4792.279065,5416.623552,5905.729634,5951.00243,6035.7295,5445.677217,5294.6853630000005,5247.986414
ARE,30537.816939999997,34564.77824,36057.06658,38070.0702,39332.03139,35654.474780000004,35465.40518,37374.46062
ARG,8810.359213,11008.52459,11250.02138,11255.02138,10607.40646,12003.35116,11006.02931,12365.9013
ARM,2918.101653,3138.2629660000002,3274.122578,3509.2064219999997,3587.530469,3181.176422,3084.605658,3412.0801479999996
AUS,39980.77299,47843.28688,52881.8056,52930.05827,48159.36038,43915.72181,38660.73451,41489.476760000005
AUT,38977.20713,42632.92867,40022.51845,41671.43331,42479.1665,35800.09525,37002.0496,38747.991330000004
AZE,3868.8285200000005,4679.517951,5181.216604,5743.263637,6031.879971,4423.449965,2994.07077,3146.654313
BDI,149.0493988,155.8471084,178.5315324,182.7131939,196.1259185,222.667017,202.29579750000002,212.1844662
BEL,37246.55427,38918.80983,37079.60198,38281.733060000006,38400.62075,32405.96174,33605.86599,35803.85628
BEN,637.3324259999999,697.1889863,702.1997766,765.858651,789.1613218,652.0651054,656.90022,686.7420527
BFA,454.6328971,500.9574975,517.2918109,544.0494449,540.4536346,421.0275804,414.3358957,456.95891910000006
BGD,771.8537819000001,845.0189375,872.4031499,964.9418135,1081.974743,1212.708886,1352.190196,1483.833911
BGR,5580.342227,6347.049895,6166.781592,6365.92673,6573.656989,5797.3114350000005,6334.059669,7103.724619
BHR,16640.902990000002,17097.5868,17755.55858,18546.64422,17601.82797,19056.40876,19133.21509,20264.05529
BHS,25824.37798,25501.23098,27292.034710000004,26706.32662,26758.355480000002,28079.642010000003,27169.17566,27265.984669999998
BIH,4124.585692000001,4435.963518,4117.081081,4494.397476,4629.438265999999,4091.940136,4293.525517,4584.906034000001
BLR,5505.328487,5804.492263,6159.759883,6989.665648,7316.531177,5161.507439,4339.742886,4979.858026
BLZ,3022.698452,3209.11089,3360.6868990000003,3446.9797840000006,3564.237918,3888.8041439999997,3868.284571,3793.106025
BOL,1545.671016,1794.730598,1919.282805,2125.486682,2295.6163699999997,2427.272681,2509.292526,2630.551022
BRA,9337.194188,10986.60762,10327.386040000001,10414.89321,10186.721290000001,7447.224088,7405.912556,8397.118144
BRB,13912.73657,13559.81616,13915.282790000001,13823.75094,13785.531180000002,13650.39984,13453.02589,13871.63352
BRN,25507.665,31907.09945,33687.53462,33729.41314,32512.12045,26426.20048,24338.80432,24573.42045
BTN,1930.880875,2184.449891,2137.433675,2114.268085,2273.79794,2340.897715,2445.9364760000003,2703.184883
BWA,4648.767597999999,6135.567903,5632.09664,5429.364124000001,5919.087506,5263.258569,5477.276886,5949.564567
CAF,411.6333611,447.1520569,430.28887599999996,278.9990012,317.1247323,285.0839058,302.9212222,322.9968139
CAN,38427.36803,42189.913,42696.49321,42650.047210000004,41307.976,35162.084910000005,34201.63935,36802.07309
CEB,10044.94749,11030.09555,10386.23921,10972.984129999999,11321.66064,9977.313262,10200.09673,11337.71779
CHE,63531.5183,71212.45819,68125.90071,69068.37246,68789.55197,67087.47041000001,64069.58576,64306.9622
CHL,9146.420113,10600.763429999999,11471.48641,11982.734359999999,11267.7888,10641.27447,10755.31922,11353.30459
CHN,3459.181815,4124.14412,4770.882242000001,5262.94989,5754.297064,6091.615435,6163.984514,6567.928606
CMR,1059.839636,1143.262807,1090.873151,1183.829422,1275.111889,1115.191446,1147.2428619999998,1182.6252
COD,242.20468309999998,266.3433483,290.0086903,292.35275319999994,314.86464739999997,346.0658285,362.3952148,347.0058077
COG,492.1510107,349.5246288,514.5000084,831.4371518999999,1049.770926,1107.593401,1075.335386,684.9708381
COL,5024.446509,5622.306479,6268.804132,6466.229975,6456.022833,5114.350292,4894.237567,5226.942639
COM,1172.448109,1304.130057,1275.8556939999999,1380.14183,1392.355411,1177.270726,1201.964493,1234.643787
CPV,2554.300743,2842.572186,2584.111428,2626.864389,2645.523382,2267.503717,2317.6488,2430.4048629999998
CRI,7299.732559,8186.236725,8946.415326999999,9412.029394,9403.131008,10087.0875,10406.80915,10326.78053
CSS,7339.923081,7377.556845,7805.6373730000005,7968.349765999999,8134.2378,8278.992145999999,7746.848967,7605.3770159999995
CYP,26205.3584,28305.133410000002,24474.9993,23132.882840000002,22779.95454,20374.3869,20471.045869999998,21477.434830000002
CZE,14047.23332,15388.472380000001,14256.00686,14326.04027,14117.664630000001,12752.36057,13355.25137,15002.48837
DEU,35069.50969,39671.91268,37241.184389999995,39257.73989,40589.06727,34943.00595,35796.37979,37791.48357
DMA,6024.6044170000005,5881.839029,5495.5868869999995,5521.798649,5739.851099,5853.033186,6220.774332999999,5330.2882469999995
DNK,47972.22347,51243.68428,48824.98488,51808.66797,53772.467410000005,45663.93317,45928.16138,48267.15649
DOM,5124.048861,5391.451828,5578.7918979999995,5591.836333,5820.547262,6050.893773,6243.745052,6457.617915999999
DZA,3407.251171,3963.324724,4050.21111,4036.0336840000004,4104.741582,3295.5525829999997,3284.470252,3257.6768739999998
EAP,3079.502961,3628.0510299999996,4104.644954,4456.283306,4784.11529,4983.319114,5077.518392,5388.2593560000005
EAR,2456.3248550000003,2679.274695,2769.0365890000003,2788.64021,2872.394236,2801.019012,2829.008456,2965.485431
EAS,6016.710239999999,6838.801654000001,7369.776352,7354.806193,7536.651293999999,7486.474962,7722.446626000001,8060.707439
ECA,6202.59984,7556.234031999999,7983.424416,8476.041364,7883.191452,6081.59648,5782.079176,6356.4620350000005
ECS,19487.70232,21474.8635,20564.45316,21382.99572,21587.28744,18545.76693,18392.07536,19368.55265
ECU,3667.0114719999997,4077.5544689999997,4496.325158,4845.742869,5063.5343299999995,5047.748914,4995.335753,5021.301254999999
EGY,2258.1736530000003,2310.599898,2746.79929,2776.147739,2906.62907,3247.258657,3209.408534,2166.637373
EMU,31127.80063,33635.95396,31074.630339999996,32293.39686,32881.05409,28255.31989,28949.775,30563.1173
ESP,25097.787809999998,25696.5583,23291.93435,23746.4106,24176.80532,21307.19485,22018.81966,23216.40826
EST,11363.22057,13769.5831,13933.111669999998,15517.39835,16405.547019999998,14215.92618,14834.53555,16641.88067
ETH,259.0775625,263.2960687,350.8441096,373.9222547,426.38327769999995,478.6696614,525.2034505,559.6358191
EUU,28068.769330000003,30377.770360000002,28477.94668,29551.590839999997,30464.92383,26691.2849,26783.08864,28095.600560000003
FCS,1164.2295800000002,1255.942965,1407.7566259999999,1399.321566,1446.662064,1329.8591509999999,1259.951392,1329.657324
FIN,37972.25819,41496.64912,38463.64398,40209.10777,40680.142810000005,34793.88528,35856.28545,37828.707539999996
FJI,3221.781437,3701.906458,3856.4307329999997,4203.783721,4309.3575869999995,4256.053218,4564.770971,4802.264496
FRA,34311.51773,37180.50512,34367.52343,35808.93088,36130.04873,30857.68707,31055.082339999997,32671.75509
GAB,4586.303198,5198.685467,5137.8115689999995,5457.0497909999995,6221.228016,5205.043736,4987.601308,5008.441954999999
GBR,33896.39243,36364.55421,36083.52447,36538.23564,39971.56127,37867.417689999995,34430.33556,34170.56251
GEO,2629.7491649999997,3248.167037,3715.324807,3770.62996,3918.530407,3244.083932,3254.496728,3402.0422320000002
GHA,979.1573751,1097.912407,1074.372276,1720.078371,1343.345689,1215.3392609999999,1313.466412,1274.4074150000001
GIN,482.9331043,453.9358318,509.18364969999993,564.5613293,598.9142287000001,585.4938164,564.3796016,688.9670615
GMB,382.6464494,329.4699223,315.3486269,490.78546510000007,440.2281366,471.4339291,466.8052517,481.78166969999995
GNB,468.5635658,608.6364616000001,513.9147352,514.2014289,534.2212595,503.29949960000005,556.5555672,612.0552296
GNQ,2673.7903149999997,4332.751404,4414.894443,5661.202535,5695.645901,5358.267099000001,4877.51097,4686.987375
GRC,21801.27771,20538.345719999998,18023.4111,17633.10925,18024.08806,15026.319,15012.874409999999,15780.2661
GTM,2371.2792289999998,2663.58655,2783.444775,2919.333964,3088.048684,3318.704176,3494.706279,3785.24574
GUY,2660.477005,2892.190453,3129.8984600000003,3294.858972,3526.5668539999997,3634.023146,3788.992968,3883.4474210000003
HIC,32362.937860000002,34800.11926,34842.72701,34996.37068,35696.59849,33564.64512,33890.7971,35277.74328
HND,1670.712868,1824.719078,1851.56913,1800.4048690000002,1864.7368199999999,1993.7292120000002,2015.527168,2095.787502
HPC,590.9870782,638.2068414,662.8536992,694.0714793,753.409826,738.4409454,722.9614688999999,764.1393255
HRV,11183.87985,11753.02288,10709.75988,11228.08565,11224.24342,9795.219646,9895.40733,10777.16762
HTI,628.6312062999999,707.024054,731.8534559999999,768.3036387,784.2359786000001,768.3050503,690.3305548,718.18376
HUN,10096.542440000001,10845.92469,9978.243936,10877.88343,11135.19449,9873.288292,10357.7211,11348.72838
IBD,3607.727172,4144.951132,4398.727146,4591.321025,4720.8735,4459.714936,4458.579336,4784.672358
IBT,2963.439345,3387.1318979999996,3587.869125,3741.487275,3853.985883,3644.255067,3623.3499,3861.412306
IDA,895.5461865,979.2571723,1044.1966730000001,1110.0977369999998,1207.618531,1188.780354,1139.047116,1147.442788
IDB,1272.141324,1402.654495,1533.193142,1641.7551210000001,1786.8195660000001,1710.904471,1562.937325,1490.922137
IDN,2325.629811,2680.861714,2746.810324,2703.68793,2625.2938440000003,2539.7423559999997,2806.6586780000002,2934.499889
IDX,693.0277953,756.3813607000001,784.6617719,826.946998,898.6247957,911.7856481000001,917.2760311000001,973.8728550000001
IND,1172.804567,1258.540207,1248.8228960000001,1249.2090210000001,1368.284906,1404.9234490000001,1504.4567029999998,1678.499262
IRL,33811.35879,34894.67632,32476.6804,35990.789189999996,38773.82086,34295.07959,37043.51184,37988.28351
IRN,5355.085433,6281.1402020000005,6168.1396270000005,4691.415485,4313.717253,3845.949567,4077.744551,4237.956184000001
IRQ,3721.6453109999998,4693.543039,5317.2171,5476.731905,5211.015227000001,3950.2347259999997,3733.8338289999997,3943.6784340000004
ISR,25867.4727,28698.98273,27322.641989999996,30818.04975,32497.68938,30877.04235,32130.89535,34949.562439999994
ITA,29459.5333,31385.784089999997,28361.449119999997,28810.48189,28875.13354,24511.37283,25361.602319999998,26537.35914
JAM,4134.572385,4505.271714,4710.463786,4435.645304,4301.493236,4320.381276,4234.580212,4438.771135
JOR,3288.6613780000002,3394.0427979999995,3436.534526,3550.908019,3608.8249490000003,3634.018372,3650.8087960000003,3710.8074380000003
JPN,35086.7823,38081.33916,38612.862689999994,32488.225960000003,30650.29064,28057.783919999998,31513.025210000003,31107.44895
KAZ,5717.931578,7113.5618859999995,7834.290256,9380.125613,8848.268726999999,7995.920451000001,5697.667748,6377.692929999999
KEN,798.0552512999999,821.2286872999999,957.5812582000001,1018.389558,1083.5818689999999,1111.855259,1219.794152,1320.793895
KGZ,664.6806693,805.1514285000001,958.0330791000001,945.6230309,948.0408687999999,825.6901131,862.8972192,970.9430876
KHM,660.4069922,742.6516454,800.9583211,868.2249745999999,914.7458518,968.6525177000001,1055.7819140000001,1151.491139
KIR,2077.4191140000003,2253.9206710000003,2539.370716,2695.298357,2969.3560429999998,3022.356191,2944.2133489999997,3037.314907
KOR,18160.96605,19677.69496,19980.90589,20901.65801,22533.15082,21959.15151,22420.54385,24027.91605
KWT,34443.6355,41012.075189999996,43965.71007,42359.99253,39127.016110000004,27669.87443,26409.94033,28637.757980000002
LAC,7255.187337,8079.5954409999995,8086.926153,8225.481807,8364.533564,7113.916262000001,6833.464574,7489.4646680000005
LAO,780.0778387,943.8080286000001,1122.67949,1324.382694,1475.370783,1611.085441,1752.796771,1783.679257
LBN,6439.665358,6347.2343710000005,6528.790625,6442.87683,6271.739577,6175.053078,6134.6414079999995,6318.234572
