country,year,percapita
ABW,2010,19741.1498
AFG,2010,477.3070093
AGO,2010,1108.338717
ALB,2010,3530.690656
ARB,2010,4792.279065
ARE,2010,30537.81694
ARG,2010,8810.359213
ARM,2010,2918.101653
AUS,2010,39980.77299
AUT,2010,38977.20713
AZE,2010,3868.82852
BDI,2010,149.0493988
BEL,2010,37246.55427
BEN,2010,637.332426
BFA,2010,454.6328971
BGD,2010,771.8537819
BGR,2010,5580.342227
BHR,2010,16640.90299
BHS,2010,25824.37798
BIH,2010,4124.585692
BLR,2010,5505.328487
BLZ,2010,3022.698452
BOL,2010,1545.671016
BRA,2010,9337.194188
BRB,2010,13912.73657
BRN,2010,25507.665
BTN,2010,1930.880875
BWA,2010,4648.767598
CAF,2010,411.6333611
CAN,2010,38427.36803
CEB,2010,10044.94749
CHE,2010,63531.5183
CHL,2010,9146.420113
CHN,2010,3459.181815
CMR,2010,1059.839636
COD,2010,242.2046831
COG,2010,492.1510107
COL,2010,5024.446509
COM,2010,1172.448109
CPV,2010,2554.300743
CRI,2010,7299.732559
CSS,2010,7339.923081
CYP,2010,26205.3584
CZE,2010,14047.23332
DEU,2010,35069.50969
DMA,2010,6024.604417
DNK,2010,47972.22347
DOM,2010,5124.048861
DZA,2010,3407.251171
EAP,2010,3079.502961
EAR,2010,2456.324855
EAS,2010,6016.71024
ECA,2010,6202.59984
ECS,2010,19487.70232
ECU,2010,3667.011472
EGY,2010,2258.173653
EMU,2010,31127.80063
ESP,2010,25097.78781
EST,2010,11363.22057
ETH,2010,259.0775625
EUU,2010,28068.76933
FCS,2010,1164.22958
FIN,2010,37972.25819
FJI,2010,3221.781437
FRA,2010,34311.51773
GAB,2010,4586.303198
GBR,2010,33896.39243
GEO,2010,2629.749165
GHA,2010,979.1573751
GIN,2010,482.9331043
GMB,2010,382.6464494
GNB,2010,468.5635658
GNQ,2010,2673.790315
GRC,2010,21801.27771
GTM,2010,2371.279229
GUY,2010,2660.477005
HIC,2010,32362.93786
HND,2010,1670.712868
HPC,2010,590.9870782
HRV,2010,11183.87985
HTI,2010,628.6312063
HUN,2010,10096.54244
IBD,2010,3607.727172
IBT,2010,2963.439345
IDA,2010,895.5461865
IDB,2010,1272.141324
IDN,2010,2325.629811
IDX,2010,693.0277953
IND,2010,1172.804567
IRL,2010,33811.35879
IRN,2010,5355.085433
IRQ,2010,3721.645311
ISR,2010,25867.4727
ITA,2010,29459.5333
JAM,2010,4134.572385
JOR,2010,3288.661378
JPN,2010,35086.7823
KAZ,2010,5717.931578
KEN,2010,798.0552513
KGZ,2010,664.6806693
KHM,2010,660.4069922
KIR,2010,2077.419114
KOR,2010,18160.96605
KWT,2010,34443.6355
LAC,2010,7255.187337
LAO,2010,780.0778387
LBN,2010,6439.665358
LBR,2010,325.9455466
LBY,2010,8716.151932
LCA,2010,6631.366645
LCN,2010,7419.152732
LDC,2010,613.5846366
LIC,2010,510.5359367
LKA,2010,2597.124533
LMC,2010,1383.736955
LMY,2010,2871.130421
LSO,2010,1313.282046
LTE,2010,4827.073258
LUX,2010,63004.25537
LVA,2010,8601.764483
MAR,2010,2472.545213
MDA,2010,1636.32958
MDG,2010,381.7990089
MDV,2010,5396.348598
MEA,2010,5831.179272
MEX,2010,7362.916552
MIC,2010,3133.546649
MKD,2010,3458.033256
MLI,2010,557.1644161
MMR,2010,942.797632
MNA,2010,3365.312581
MNE,2010,5867.368608
MNG,2010,1822.244692
MOZ,2010,356.2009993
MRT,2010,836.6354493
MUS,2010,7072.219454
MWI,2010,357.9759066
MYS,2010,6804.800261
NAC,2010,40675.72003
NAM,2010,4509.129492
NER,2010,303.7272482
NGA,2010,1823.661325
NIC,2010,1274.915039
NLD,2010,41980.65207
NOR,2010,68568.62814
NPL,2010,550.7369591
NZL,2010,26603.7569
OED,2010,29735.50175
OMN,2010,10546.36654
OSS,2010,8392.305838
